seed,model,dropped_feature,dropped_idx,cos_vs_full_5dim_subset,significantly_misaligned,w_norm_5dim_subset,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza,w_anti_pobreza
5,claude,anti_deuda,1,0.9981724443949078,True,0.6500226973925574,,0.0393065502114325,-0.10159268921866359,0.12380407138384363,-0.02272982140292831,0.6283465085930434
5,claude,pro_aprobacion,2,0.9978608214670434,True,0.6426388460767547,0.06607681967095681,,-0.12151592759162064,0.10896316171690687,-0.026072010565567606,0.6174946958349576
5,claude,pro_crecimiento,3,0.9963293473482927,True,0.6189122022017063,0.06175768162135189,0.021419866486887342,,0.11081642801359994,-0.0018105958586726388,0.6053890758343337
5,claude,anti_desviacion_inflacion,4,0.9989321711584624,True,0.623022523375701,0.059534893076581594,0.009723113853778866,-0.1335494963562295,,-0.036383833025515414,0.6044492293932893
5,claude,pro_confianza,5,0.9980388554413466,True,0.6450922200595097,0.05963882272154941,0.0071375591228287506,-0.1161807731786294,0.10790966870982488,,0.6224096478992066
5,openai,NONE,-1,,True,2.0908730613070494,,,,,,
5,openai,anti_pobreza,0,0.9002853089553852,True,0.2767222173021017,0.02947729951121023,-0.22459683214909698,0.14732861201332323,-0.05234446711391082,0.028581011099972523,
5,openai,anti_deuda,1,0.9996765325951117,True,2.094365170385767,,-0.1943354870070732,0.019039383852201188,-0.11190459745721844,0.00911099778948401,2.082217817151816
5,openai,pro_aprobacion,2,0.9998993102515314,True,2.058636923721365,0.05149007763036826,,0.03601346873069212,-0.0739319910563195,-0.006072411429226319,2.0563401888312276
5,openai,pro_crecimiento,3,0.9999477331543559,True,2.097949233062475,0.040158954170970755,-0.1961257890228412,,-0.07914006567426922,0.015759451581980253,2.086816093353316
5,openai,anti_desviacion_inflacion,4,0.9998914361477435,True,2.093120839599501,0.03403018393630877,-0.19496877765889578,0.012009647862006891,,-0.010837501337664118,2.083679987044115
5,openai,pro_confianza,5,0.9999427132075965,True,2.0961869752275493,0.04476975227316948,-0.20616783765482066,0.03534911484482736,-0.057608199764656,,2.0844476636536884
6,claude,NONE,-1,,True,0.6833093392108202,,,,,,
6,claude,anti_pobreza,0,0.9296596743109055,True,0.11868601081052632,0.0561791311766078,-0.032071527806663586,0.09171872961006129,0.018646710208072452,0.0337885531450653,
6,claude,anti_deuda,1,0.9984980448865093,True,0.6690830571906952,,-0.0034856448907449006,0.024575688930275872,0.01507763507076914,0.011624815669963423,0.6683513685137908
6,claude,pro_aprobacion,2,0.9987157503014601,True,0.6784890924219941,0.07428517439443946,,0.03199397958024433,0.021850138782783298,0.01078826374527838,0.6732100203294387
6,claude,pro_crecimiento,3,0.9993513512957704,True,0.6860037168302412,0.0755049891578241,-0.020375170583689504,,-0.0026160308414395726,0.01984001845904353,0.6812374612358378
6,claude,anti_desviacion_inflacion,4,0.9995992584839408,True,0.6720577293361334,0.06788728072376213,-0.005237179451582142,0.032907634700702,,0.04069469842442773,0.6665482051032128
6,claude,pro_confianza,5,0.9995985610501179,True,0.6793294878502925,0.057685497795303124,-0.0007554512265832423,0.038504459991202306,0.008786742899114785,,0.6757222546361069
6,openai,NONE,-1,,True,1.9040833163531559,,,,,,
6,openai,anti_pobreza,0,0.9841883927979553,True,0.6506630420124856,-0.06228159135111471,-0.6208916365090789,0.145444755113586,0.09474650164457409,0.06201529624903868,
6,openai,anti_deuda,1,0.9999578508211143,True,1.8949800973787978,,-0.6116038344274302,0.05178165102288164,0.08981461620885561,0.011701642029349804,1.7905321516470571
6,openai,pro_aprobacion,2,0.9998373452246136,True,1.771498909365311,-0.04037162690649261,,0.04184726839006821,0.10381704839117278,0.013699464699582583,1.7674449549793594
6,openai,pro_crecimiento,3,0.9999061469049679,True,1.8791278105845175,-0.039648338004500606,-0.6157777287659539,,0.09674085885647223,-0.0008833573578016164,1.7722887892409005
6,openai,anti_desviacion_inflacion,4,0.9998759849112068,True,1.9067637971163063,-0.04100907097431483,-0.6214150170983617,0.05841536198473883,,0.011354764729226263,1.8012130705216405
6,openai,pro_confianza,5,0.9999820229148509,True,1.892867128395673,-0.054234162665282415,-0.6168714388838956,0.05207156900825415,0.09542383333539077,,1.7854011014286923
7,claude,NONE,-1,,True,1.6990981864828998,,,,,,
7,claude,anti_pobreza,0,0.978631933326871,True,0.5120931040119242,0.046565384663008566,-0.486098789966503,0.1465075360829005,-0.008448009336491074,0.047361920674980275,
7,claude,anti_deuda,1,0.9999672521054773,True,1.6807345732001522,,-0.45473760990051443,0.05720910623058432,0.006277801006402264,0.020986898761625312,1.6168888858395485
7,claude,pro_aprobacion,2,0.9997109080195276,True,1.6123546106247915,0.04941480522521293,,0.06409784924101526,0.004385345801214124,0.016620169672193024,1.6102302853481936
7,claude,pro_crecimiento,3,0.9993245307980543,True,1.689947530562774,0.03089055766378338,-0.4462319702939776,,0.01642608542321549,0.016824459242183506,1.6295068516207198
7,claude,anti_desviacion_inflacion,4,0.9996222488544144,True,1.6858425268479995,0.04857550186123594,-0.45218363672506134,0.07075406312775762,,0.03011272291311902,1.621518575624697
7,claude,pro_confianza,5,0.9995161172790133,True,1.7078168621189347,0.041241953960082296,-0.45664318716448393,0.0764216963957215,-0.0064425545789267005,,1.6433297761551326
